"","x","y","ndvi86","ndvi11","class"
"604",634560,4331280,1,1,1
"605",634560,4331310,1,1,1
"606",634560,4331340,2,2,4
"607",634560,4331370,1,1,1
"608",634560,4331400,1,1,1
"609",634560,4331430,1,2,2
"610",634560,4331460,1,2,2
"611",634560,4331490,2,2,4
"612",634560,4331520,1,2,2
"613",634560,4331550,1,1,1
"614",634560,4331580,1,1,1
"615",634560,4331610,1,1,1
"616",634560,4331640,1,2,2
"617",634560,4331670,2,2,4
"618",634560,4331700,2,2,4
"619",634560,4331730,2,2,4
"620",634560,4331760,2,2,4
"621",634560,4331790,2,2,4
"622",634560,4331820,2,2,4
"623",634560,4331850,2,2,4
"624",634560,4331880,2,2,4
"625",634560,4331910,2,2,4
"626",634560,4331940,1,2,2
"627",634560,4331970,1,2,2
"628",634560,4332000,1,1,1
"629",634560,4332030,1,1,1
"630",634560,4332060,1,1,1
"631",634590,4330320,2,2,4
"632",634590,4330350,2,2,4
"633",634590,4330380,2,2,4
"634",634590,4330410,2,2,4
"635",634590,4330440,2,2,4
"636",634590,4330470,2,2,4
"637",634590,4330500,1,2,2
"638",634590,4330530,1,1,1
"639",634590,4330560,1,1,1
"640",634590,4330590,1,1,1
"641",634590,4330620,1,2,2
"642",634590,4330650,2,2,4
"643",634590,4330680,1,2,2
"644",634590,4330710,1,1,1
"645",634590,4330740,1,1,1
"646",634590,4330770,1,1,1
"647",634590,4330800,2,2,4
"648",634590,4330830,2,2,4
"649",634590,4330860,2,1,3
"650",634590,4330890,1,1,1
"651",634590,4330920,1,1,1
"652",634590,4330950,1,1,1
"653",634590,4330980,1,1,1
"654",634590,4331010,1,1,1
"655",634590,4331040,1,1,1
"656",634590,4331070,1,1,1
"657",634590,4331100,1,1,1
"658",634590,4331130,1,1,1
"659",634590,4331160,1,1,1
"660",634590,4331190,1,1,1
"661",634590,4331220,1,1,1
"662",634590,4331250,1,1,1
"663",634590,4331280,1,1,1
"664",634590,4331310,1,1,1
"665",634590,4331340,1,1,1
