Rowid_,WEIMER_DIS7,X,Y,WEIMER_DIS7_1
,430,634980.000000000000000,4332030.000000000000000,429.534637451171870
,424,635010.000000000000000,4332030.000000000000000,424.264068603515620
,421,635040.000000000000000,4332030.000000000000000,421.070068359375000
,420,635070.000000000000000,4332030.000000000000000,420.000000000000000
,421,635100.000000000000000,4332030.000000000000000,421.070068359375000
,424,635130.000000000000000,4332030.000000000000000,424.264068603515620
,430,635160.000000000000000,4332030.000000000000000,429.534637451171870
,437,635190.000000000000000,4332030.000000000000000,436.806579589843750
,446,635220.000000000000000,4332030.000000000000000,445.982055664062500
,457,635250.000000000000000,4332030.000000000000000,456.946380615234370
,470,635280.000000000000000,4332030.000000000000000,469.574279785156250
,484,635310.000000000000000,4332030.000000000000000,483.735473632812500
,497,635340.000000000000000,4332030.000000000000000,496.588348388671870
,510,635370.000000000000000,4332030.000000000000000,510.000000000000000
,525,635400.000000000000000,4332030.000000000000000,524.785644531250000
,541,635430.000000000000000,4332030.000000000000000,540.832702636718750
,558,635460.000000000000000,4332030.000000000000000,558.032287597656250
,576,635490.000000000000000,4332030.000000000000000,576.281188964843750
,592,635520.000000000000000,4332030.000000000000000,591.692504882812500
,607,635550.000000000000000,4332030.000000000000000,607.453674316406250
,624,635580.000000000000000,4332030.000000000000000,624.259582519531250
,642,635610.000000000000000,4332030.000000000000000,642.028015136718750
,658,635640.000000000000000,4332030.000000000000000,657.951354980468750
,671,635670.000000000000000,4332030.000000000000000,670.820373535156250
,685,635700.000000000000000,4332030.000000000000000,684.762756347656250
,700,635730.000000000000000,4332030.000000000000000,699.714233398437500
,716,635760.000000000000000,4332030.000000000000000,715.611633300781250
,732,635790.000000000000000,4332030.000000000000000,732.393310546875000
,750,635820.000000000000000,4332030.000000000000000,750.000000000000000
,768,635850.000000000000000,4332030.000000000000000,768.374938964843750
,787,635880.000000000000000,4332030.000000000000000,787.464294433593750
,807,635910.000000000000000,4332030.000000000000000,807.217468261718750
,828,635940.000000000000000,4332030.000000000000000,827.586853027343750
,849,635970.000000000000000,4332030.000000000000000,848.528137207031250
,870,636000.000000000000000,4332030.000000000000000,870.000000000000000
,891,636030.000000000000000,4332030.000000000000000,890.954528808593750
,912,636060.000000000000000,4332030.000000000000000,912.414367675781250
,933,636090.000000000000000,4332030.000000000000000,933.380981445312500
,955,636120.000000000000000,4332030.000000000000000,954.829833984375000
