OBJECTID,iso1986_ndvi_tif,X,Y,iso1986_ndvi
496,1,635130,4331760,1
497,1,635160,4331760,1
498,1,635190,4331760,1
499,1,635220,4331760,1
500,1,635250,4331760,1
501,1,635280,4331760,1
502,1,635310,4331760,1
503,1,635340,4331760,1
504,1,635370,4331760,1
505,1,635400,4331760,1
506,1,635430,4331760,1
507,1,635460,4331760,1
508,1,635490,4331760,1
509,1,635520,4331760,1
510,1,635550,4331760,1
511,1,635580,4331760,1
512,1,635610,4331760,1
513,1,635640,4331760,1
514,1,635670,4331760,1
515,1,635700,4331760,1
516,1,635730,4331760,1
517,1,635760,4331760,1
518,1,635790,4331760,1
519,1,635820,4331760,1
520,1,635850,4331760,1
521,1,635880,4331760,1
522,1,635910,4331760,1
523,1,635940,4331760,1
524,1,635970,4331760,1
525,1,636000,4331760,1
526,2,633960,4331730,2
527,2,633990,4331730,2
528,1,634020,4331730,1
529,2,634050,4331730,2
530,2,634080,4331730,2
531,2,634110,4331730,2
532,1,634140,4331730,1
533,1,634170,4331730,1
534,1,634200,4331730,1
535,1,634230,4331730,1
536,1,634260,4331730,1
537,1,634290,4331730,1
538,1,634320,4331730,1
539,1,634350,4331730,1
540,1,634380,4331730,1
541,1,634410,4331730,1
542,1,634440,4331730,1
543,2,634470,4331730,2
544,2,634500,4331730,2
545,2,634530,4331730,2
546,2,634560,4331730,2
547,2,634590,4331730,2
548,2,634620,4331730,2
549,2,634650,4331730,2
550,2,634680,4331730,2
551,1,634710,4331730,1
552,2,634740,4331730,2
553,2,634770,4331730,2
554,1,634800,4331730,1
555,2,634830,4331730,2
556,2,634860,4331730,2
557,2,634890,4331730,2
558,1,634920,4331730,1
559,1,634950,4331730,1
560,1,634980,4331730,1
561,1,635010,4331730,1
562,1,635040,4331730,1
563,1,635070,4331730,1
564,1,635100,4331730,1
565,1,635130,4331730,1
566,1,635160,4331730,1
567,1,635190,4331730,1
568,1,635220,4331730,1
569,1,635250,4331730,1
570,1,635280,4331730,1
571,1,635310,4331730,1
572,1,635340,4331730,1
573,1,635370,4331730,1
574,1,635400,4331730,1
575,1,635430,4331730,1
576,1,635460,4331730,1
577,1,635490,4331730,1
578,1,635520,4331730,1
579,1,635550,4331730,1
580,1,635580,4331730,1
581,1,635610,4331730,1
582,1,635640,4331730,1
583,1,635670,4331730,1
584,1,635700,4331730,1
585,1,635730,4331730,1
586,1,635760,4331730,1
587,1,635790,4331730,1
588,1,635820,4331730,1
589,1,635850,4331730,1
590,1,635880,4331730,1
591,1,635910,4331730,1
592,1,635940,4331730,1
593,1,635970,4331730,1
594,1,636000,4331730,1
595,1,633960,4331700,1
596,2,633990,4331700,2
597,2,634020,4331700,2
598,1,634050,4331700,1
599,2,634080,4331700,2
600,2,634110,4331700,2
601,2,634140,4331700,2
602,1,634170,4331700,1
603,1,634200,4331700,1
604,1,634230,4331700,1
605,1,634260,4331700,1
606,1,634290,4331700,1
607,1,634320,4331700,1
608,1,634350,4331700,1
609,1,634380,4331700,1
610,1,634410,4331700,1
611,1,634440,4331700,1
612,2,634470,4331700,2
613,2,634500,4331700,2
614,2,634530,4331700,2
615,2,634560,4331700,2
616,2,634590,4331700,2
617,2,634620,4331700,2
618,2,634650,4331700,2
619,2,634680,4331700,2
620,2,634710,4331700,2
621,2,634740,4331700,2
622,2,634770,4331700,2
623,2,634800,4331700,2
624,2,634830,4331700,2
625,2,634860,4331700,2
626,2,634890,4331700,2
627,2,634920,4331700,2
628,1,634950,4331700,1
629,1,634980,4331700,1
630,1,635010,4331700,1
631,1,635040,4331700,1
632,1,635070,4331700,1
633,1,635100,4331700,1
634,1,635130,4331700,1
635,1,635160,4331700,1
636,1,635190,4331700,1
637,1,635220,4331700,1
638,2,635250,4331700,2
639,2,635280,4331700,2
640,1,635310,4331700,1
641,1,635340,4331700,1
642,1,635370,4331700,1
643,1,635400,4331700,1
644,1,635430,4331700,1
645,1,635460,4331700,1
646,1,635490,4331700,1
647,1,635520,4331700,1
648,1,635550,4331700,1
649,1,635580,4331700,1
650,1,635610,4331700,1
651,1,635640,4331700,1
652,1,635670,4331700,1
653,1,635700,4331700,1
654,1,635730,4331700,1
655,1,635760,4331700,1
656,1,635790,4331700,1
657,1,635820,4331700,1
658,1,635850,4331700,1
659,1,635880,4331700,1
660,1,635910,4331700,1
661,1,635940,4331700,1
662,1,635970,4331700,1
663,1,636000,4331700,1
664,2,633990,4331670,2
665,1,634020,4331670,1
666,2,634050,4331670,2
667,2,634080,4331670,2
668,2,634110,4331670,2
669,2,634140,4331670,2
670,1,634170,4331670,1
671,1,634200,4331670,1
672,1,634230,4331670,1
673,1,634260,4331670,1
674,1,634290,4331670,1
675,1,634320,4331670,1
676,1,634350,4331670,1
