OBJECTID,Rowid_,GREEN_1986,X,Y,GREEN_1986_1987,RASTERVALU
2183,,0,635970.000000000000000,4331010.000000000000000,-0.010819759219885,1
2184,,0,636000.000000000000000,4331010.000000000000000,-0.010334182530642,1
2185,,0,636030.000000000000000,4331010.000000000000000,-0.012513421475887,1
2186,,0,636060.000000000000000,4331010.000000000000000,-0.018266379833221,1
2187,,0,636090.000000000000000,4331010.000000000000000,-0.015486091375351,1
2188,,0,636120.000000000000000,4331010.000000000000000,-0.020925648510456,1
2189,,0,636150.000000000000000,4331010.000000000000000,-0.016846844926476,1
2190,,0,636180.000000000000000,4331010.000000000000000,-0.016909610480070,1
2191,,0,636210.000000000000000,4331010.000000000000000,-0.012072691693902,1
2192,,0,636240.000000000000000,4331010.000000000000000,-0.004385694861412,1
2193,,0,636270.000000000000000,4331010.000000000000000,-0.003253065049648,1
2194,,0,636300.000000000000000,4331010.000000000000000,-0.008104268461466,1
2195,,0,636330.000000000000000,4331010.000000000000000,-0.007054101675749,1
2196,,0,634590.000000000000000,4330980.000000000000000,-0.017094423994422,1
2197,,0,634620.000000000000000,4330980.000000000000000,-0.009294858202338,1
2198,,0,634650.000000000000000,4330980.000000000000000,-0.003572246059775,1
2199,,0,634680.000000000000000,4330980.000000000000000,-0.001647258177400,1
2200,,0,634710.000000000000000,4330980.000000000000000,-0.005889421328902,1
2201,,0,634740.000000000000000,4330980.000000000000000,0.003768488764763,2
2202,,0,634770.000000000000000,4330980.000000000000000,0.007838370278478,2
2203,,0,634800.000000000000000,4330980.000000000000000,-0.001698048785329,1
2204,,0,634830.000000000000000,4330980.000000000000000,-0.008466739207506,1
2205,,0,634860.000000000000000,4330980.000000000000000,-0.010947182774544,1
2206,,0,634890.000000000000000,4330980.000000000000000,-0.010135732591152,1
2207,,0,634920.000000000000000,4330980.000000000000000,-0.003109825775027,1
2208,,0,634950.000000000000000,4330980.000000000000000,0.006001586094499,2
2209,,0,634980.000000000000000,4330980.000000000000000,-0.003133220598102,1
2210,,0,635010.000000000000000,4330980.000000000000000,-0.011430893093348,1
2211,,0,635040.000000000000000,4330980.000000000000000,-0.005444999784231,1
2212,,0,635070.000000000000000,4330980.000000000000000,-0.010543724521995,1
2213,,0,635100.000000000000000,4330980.000000000000000,-0.011907519772649,1
2214,,0,635130.000000000000000,4330980.000000000000000,-0.000982498750091,1
2215,,0,635160.000000000000000,4330980.000000000000000,-0.003669006749988,1
2216,,0,635190.000000000000000,4330980.000000000000000,-0.007751829922199,1
2217,,0,635220.000000000000000,4330980.000000000000000,-0.006328433752060,1
2218,,0,635250.000000000000000,4330980.000000000000000,-0.008443631231785,1
2219,,0,635280.000000000000000,4330980.000000000000000,-0.008849887177348,1
2220,,0,635310.000000000000000,4330980.000000000000000,-0.008077945560217,1
2221,,0,635340.000000000000000,4330980.000000000000000,-0.006094036623836,1
2222,,0,635370.000000000000000,4330980.000000000000000,-0.006489915773273,1
2223,,0,635400.000000000000000,4330980.000000000000000,-0.008841464295983,1
2224,,0,635430.000000000000000,4330980.000000000000000,-0.010206965729594,1
2225,,0,635460.000000000000000,4330980.000000000000000,-0.012246383354068,1
2226,,0,635490.000000000000000,4330980.000000000000000,-0.009760476648808,1
2227,,0,635520.000000000000000,4330980.000000000000000,-0.003898682072759,1
2228,,0,635550.000000000000000,4330980.000000000000000,-0.002199333161116,1
2229,,0,635580.000000000000000,4330980.000000000000000,0.010919149965048,2
2230,,0,635610.000000000000000,4330980.000000000000000,0.016523547470570,2
2231,,0,635640.000000000000000,4330980.000000000000000,0.023828702047467,2
2232,,0,635670.000000000000000,4330980.000000000000000,0.016353143379092,2
2233,,0,635700.000000000000000,4330980.000000000000000,0.000942509621382,1
2234,,0,635730.000000000000000,4330980.000000000000000,-0.004760105162859,1
2235,,0,635760.000000000000000,4330980.000000000000000,-0.011391125619411,1
2236,,0,635790.000000000000000,4330980.000000000000000,-0.008586030453444,1
2237,,0,635820.000000000000000,4330980.000000000000000,-0.004263350740075,1
2238,,0,635850.000000000000000,4330980.000000000000000,-0.008627690374851,1
2239,,0,635880.000000000000000,4330980.000000000000000,-0.012776857241988,1
2240,,0,635910.000000000000000,4330980.000000000000000,-0.013701464980841,1
2241,,0,635940.000000000000000,4330980.000000000000000,-0.009676270186901,1
2242,,0,635970.000000000000000,4330980.000000000000000,-0.011581405997276,1
2243,,0,636000.000000000000000,4330980.000000000000000,-0.010766094550490,1
2244,,0,636030.000000000000000,4330980.000000000000000,-0.008245993405581,1
2245,,0,636060.000000000000000,4330980.000000000000000,-0.010991463437676,1
2246,,0,636090.000000000000000,4330980.000000000000000,-0.015425316989422,1
2247,,0,636120.000000000000000,4330980.000000000000000,-0.013802180066705,1
2248,,0,636150.000000000000000,4330980.000000000000000,-0.014744687825441,1
2249,,0,636180.000000000000000,4330980.000000000000000,-0.004581235349178,1
2250,,0,636210.000000000000000,4330980.000000000000000,0.001791900023818,2
2251,,0,636240.000000000000000,4330980.000000000000000,-0.006631447002292,1
2252,,0,636270.000000000000000,4330980.000000000000000,-0.005916409194469,1
2253,,0,636300.000000000000000,4330980.000000000000000,-0.008695501834154,1
2254,,0,636330.000000000000000,4330980.000000000000000,-0.004108995199203,1
2255,,0,634590.000000000000000,4330950.000000000000000,-0.021116156131029,1
2256,,0,634620.000000000000000,4330950.000000000000000,-0.005117118358612,1
2257,,0,634650.000000000000000,4330950.000000000000000,0.012270787730813,2
2258,,0,634680.000000000000000,4330950.000000000000000,0.012186588719487,2
2259,,0,634710.000000000000000,4330950.000000000000000,0.012381652370095,2
2260,,0,634740.000000000000000,4330950.000000000000000,0.020093141123652,2
2261,,0,634770.000000000000000,4330950.000000000000000,0.016501786187291,2
2262,,0,634800.000000000000000,4330950.000000000000000,0.001943558454514,2
2263,,0,634830.000000000000000,4330950.000000000000000,-0.014210996218026,1
2264,,0,634860.000000000000000,4330950.000000000000000,-0.015221685171127,1
2265,,0,634890.000000000000000,4330950.000000000000000,-0.012563928961754,1
2266,,0,634920.000000000000000,4330950.000000000000000,-0.009690796956420,1
2267,,0,634950.000000000000000,4330950.000000000000000,-0.010312560945749,1
2268,,0,634980.000000000000000,4330950.000000000000000,-0.008241087198257,1
2269,,0,635010.000000000000000,4330950.000000000000000,-0.014346825890243,1
2270,,0,635040.000000000000000,4330950.000000000000000,-0.012495550327003,1
2271,,0,635070.000000000000000,4330950.000000000000000,-0.007303668186069,1
2272,,0,635100.000000000000000,4330950.000000000000000,-0.013655032962561,1
2273,,0,635130.000000000000000,4330950.000000000000000,-0.012133628129959,1
2274,,0,635160.000000000000000,4330950.000000000000000,-0.012162012979388,1
2275,,0,635190.000000000000000,4330950.000000000000000,-0.011900646612048,1
2276,,0,635220.000000000000000,4330950.000000000000000,-0.011214077472687,1
2277,,0,635250.000000000000000,4330950.000000000000000,-0.007776491343975,1
2278,,0,635280.000000000000000,4330950.000000000000000,-0.003439294174314,1
2279,,0,635310.000000000000000,4330950.000000000000000,-0.002257222309709,1
2280,,0,635340.000000000000000,4330950.000000000000000,-0.006534775719047,1
2281,,0,635370.000000000000000,4330950.000000000000000,-0.003357011824846,1
2282,,0,635400.000000000000000,4330950.000000000000000,-0.009402107447386,1
2283,,0,635430.000000000000000,4330950.000000000000000,-0.011479698121548,1
2284,,0,635460.000000000000000,4330950.000000000000000,-0.015938457101583,1
2285,,0,635490.000000000000000,4330950.000000000000000,-0.014131716452539,1
2286,,0,635520.000000000000000,4330950.000000000000000,-0.010065389797091,1
2287,,0,635550.000000000000000,4330950.000000000000000,-0.008251700550318,1
2288,,0,635580.000000000000000,4330950.000000000000000,-0.004134807735682,1
2289,,0,635610.000000000000000,4330950.000000000000000,0.009299205616117,2
2290,,0,635640.000000000000000,4330950.000000000000000,0.030045665800571,2
2291,,0,635670.000000000000000,4330950.000000000000000,0.026636544615030,2
2292,,0,635700.000000000000000,4330950.000000000000000,0.010709926486015,2
2293,,0,635730.000000000000000,4330950.000000000000000,0.005365643650293,2
2294,,0,635760.000000000000000,4330950.000000000000000,-0.007130965590477,1
2295,,0,635790.000000000000000,4330950.000000000000000,-0.015172785148025,1
2296,,0,635820.000000000000000,4330950.000000000000000,-0.016153179109097,1
2297,,0,635850.000000000000000,4330950.000000000000000,-0.012678224593401,1
2298,,0,635880.000000000000000,4330950.000000000000000,-0.008106123656034,1
2299,,0,635910.000000000000000,4330950.000000000000000,-0.012131767347455,1
2300,,0,635940.000000000000000,4330950.000000000000000,-0.015743050724268,1
2301,,0,635970.000000000000000,4330950.000000000000000,-0.020804157480597,1
2302,,0,636000.000000000000000,4330950.000000000000000,-0.008341141045094,1
2303,,0,636030.000000000000000,4330950.000000000000000,-0.004453826695681,1
2304,,0,636060.000000000000000,4330950.000000000000000,-0.000897970050573,1
2305,,0,636090.000000000000000,4330950.000000000000000,-0.006247587502003,1
2306,,0,636120.000000000000000,4330950.000000000000000,-0.011422233656049,1
2307,,0,636150.000000000000000,4330950.000000000000000,-0.007916444912553,1
2308,,0,636180.000000000000000,4330950.000000000000000,-0.007312428206205,1
2309,,0,636210.000000000000000,4330950.000000000000000,-0.004584269598126,1
2310,,0,636240.000000000000000,4330950.000000000000000,-0.004059588536620,1
2311,,0,636270.000000000000000,4330950.000000000000000,-0.005462864413857,1
2312,,0,636300.000000000000000,4330950.000000000000000,-0.007645189762115,1
2313,,0,636330.000000000000000,4330950.000000000000000,-0.001451227813959,1
2314,,0,634590.000000000000000,4330920.000000000000000,-0.014319676905870,1
2315,,0,634620.000000000000000,4330920.000000000000000,-0.000548709183931,1
2316,,0,634650.000000000000000,4330920.000000000000000,0.036465197801590,2
2317,,0,634680.000000000000000,4330920.000000000000000,0.039252065122128,2
2318,,0,634710.000000000000000,4330920.000000000000000,0.034224823117256,2
2319,,0,634740.000000000000000,4330920.000000000000000,0.042273730039597,2
2320,,0,634770.000000000000000,4330920.000000000000000,0.026335688307881,2
2321,,0,634800.000000000000000,4330920.000000000000000,0.000458065420389,1
2322,,0,634830.000000000000000,4330920.000000000000000,-0.011225539259613,1
2323,,0,634860.000000000000000,4330920.000000000000000,-0.009318104013801,1
2324,,0,634890.000000000000000,4330920.000000000000000,-0.008088421076536,1
2325,,0,634920.000000000000000,4330920.000000000000000,-0.014203893020749,1
2326,,0,634950.000000000000000,4330920.000000000000000,-0.015818135812879,1
2327,,0,634980.000000000000000,4330920.000000000000000,-0.017608480527997,1
2328,,0,635010.000000000000000,4330920.000000000000000,-0.017563935369253,1
2329,,0,635040.000000000000000,4330920.000000000000000,-0.015571084804833,1
2330,,0,635070.000000000000000,4330920.000000000000000,-0.009138895198703,1
2331,,0,635100.000000000000000,4330920.000000000000000,-0.012056708335876,1
2332,,0,635130.000000000000000,4330920.000000000000000,-0.011370101943612,1
2333,,0,635160.000000000000000,4330920.000000000000000,-0.013260548934340,1
2334,,0,635190.000000000000000,4330920.000000000000000,-0.013861397281289,1
2335,,0,635220.000000000000000,4330920.000000000000000,-0.010459708049893,1
2336,,0,635250.000000000000000,4330920.000000000000000,-0.010963015258312,1
2337,,0,635280.000000000000000,4330920.000000000000000,-0.005850061774254,1
2338,,0,635310.000000000000000,4330920.000000000000000,-0.006364552304149,1
2339,,0,635340.000000000000000,4330920.000000000000000,-0.005683569237590,1
2340,,0,635370.000000000000000,4330920.000000000000000,-0.011773250997066,1
2341,,0,635400.000000000000000,4330920.000000000000000,-0.008789125829935,1
2342,,0,635430.000000000000000,4330920.000000000000000,-0.010407732799649,1
2343,,0,635460.000000000000000,4330920.000000000000000,-0.005065020173788,1
2344,,0,635490.000000000000000,4330920.000000000000000,-0.010631646960974,1
2345,,0,635520.000000000000000,4330920.000000000000000,-0.009520543739200,1
2346,,0,635550.000000000000000,4330920.000000000000000,-0.007655085995793,1
2347,,0,635580.000000000000000,4330920.000000000000000,-0.003172161057591,1
2348,,0,635610.000000000000000,4330920.000000000000000,-0.008258981630206,1
2349,,0,635640.000000000000000,4330920.000000000000000,0.019136298447847,2
2350,,0,635670.000000000000000,4330920.000000000000000,0.036031402647495,2
2351,,0,635700.000000000000000,4330920.000000000000000,0.021165231242776,2
2352,,0,635730.000000000000000,4330920.000000000000000,0.010732837021351,2
2353,,0,635760.000000000000000,4330920.000000000000000,0.002782758325338,2
2354,,0,635790.000000000000000,4330920.000000000000000,-0.010272622108459,1
2355,,0,635820.000000000000000,4330920.000000000000000,-0.007967814803123,1
2356,,0,635850.000000000000000,4330920.000000000000000,-0.009494915604591,1
2357,,0,635880.000000000000000,4330920.000000000000000,-0.012163840234280,1
2358,,0,635910.000000000000000,4330920.000000000000000,-0.012776857241988,1
